test_id,test_condition,target,measured,result,notes
FA-01,empty start force,<=8 N,,,
FA-02,loaded holding force,6-8 N,,,
FA-03,release from 25% travel,returns to keyboard mode,,,
FA-04,release from 50% travel,returns to keyboard mode,,,
FA-05,release from 75% travel,returns to keyboard mode,,,
FA-06,empty return time,0.4-0.7 s,,,
FA-07,20 N tray center load,deflection <=1.0 mm,,,
FA-08,8 N eccentric input,no binding,,,
FA-09,12 N diagonal push,slip <=1.0 mm,,,
FA-10,endpoint repeatability,<=0.5 mm,,,
FA-11,45 C / 24 h creep,no functional loss,,,
FA-12,100 loaded cycles,no loosening or wear,,,
FA-13,10000 cycles,no functional failure,,,
